"['AP-13144', 'FR-12820']"
"['FR-13190', 'AP-13144']"
"['AR-11052', 'BK-11196']"
"['AR-11052', 'BK-11197']"
"['AR-12826', 'FR-12820']"
"['BK-10834', 'BK-10821']"
"['BK-10834', 'BK-11168']"
"['BK-10939', 'BK-10943']"
"['BK-10940', 'BK-10943']"
"['BK-11197', 'BK-11196']"
"['FR-12820', 'BK-12005']"
"['FR-12820', 'BK-12479']"
"['FR-12820', 'FR-10956']"
"['OC-12139', 'FR-10956']"
"['FR-12506', 'FR-12820']"
"['FR-12506', 'GA-12830']"
"['FR-12819', 'FR-12820']"
"['FR-12819', 'OC-12139']"
"['FR-13190', 'FR-12820']"
"['GA-11989', 'FR-12820']"
"['GA-12803', 'FR-12820']"
"['GA-12804', 'FR-12820']"
"['GA-12830', 'FR-12820']"
"['FR-12820', 'OC-11089']"
"['OC-11093', 'FR-12820']"
"['OC-12139', 'FR-12820']"
"['OC-12174', 'FR-12820']"
"['OC-12849', 'FR-12820']"
"['OC-12851', 'FR-12820']"
"['OT-12823', 'FR-12820']"
"['FR-13190', 'AP-13144', 'FR-12820']"
"['BK-11197', 'AR-11052', 'BK-11196']"
"['GA-12830', 'FR-12506', 'FR-12820']"
"['FR-12819', 'OC-12139', 'FR-12820']"
